# Time [ms], Voltage [mV]
0.0000, 84.5448
2.2899, 84.5004
5.3443, 84.4947
8.2062, 84.5595
10.3054, 84.5077
12.9767, 84.5595
15.6498, 84.5244
18.1303, 84.5373
19.6557, 84.4873
21.9474, 84.5004
23.4728, 84.5207
25.5720, 84.4836
26.9086, 84.5188
29.3891, 84.4855
31.2977, 84.4595
32.8249, 84.4410
33.3969, 84.4818
34.5428, 84.4910
35.3054, 84.4651
36.4513, 84.4337
38.1673, 84.5021
39.5039, 84.5392
40.2684, 84.4892
41.2218, 84.5336
42.3676, 84.4651
43.1303, 84.4947
44.2743, 84.5207
45.2295, 84.5521
46.3736, 84.4781
46.9474, 84.5299
48.2821, 84.4744
49.6187, 84.5336
51.9086, 84.5225
52.8638, 84.4577
54.9630, 84.5466
56.4883, 84.5095
57.0622, 84.4707
58.3969, 84.4429
60.3054, 84.5299
62.5953, 84.4225
63.3599, 84.4337
65.0777, 84.5207
66.7938, 84.5429
68.3210, 84.4836
69.6575, 84.5281
70.4202, 84.5836
71.7568, 84.5004
73.0914, 84.4688
74.6187, 84.5466
75.3832, 84.4651
76.3365, 84.5429
78.0526, 84.4984
78.4358, 84.4484
79.1984, 84.4170
81.4883, 84.4466
81.6790, 84.3874
83.9708, 84.4373
84.7334, 84.5004
86.0700, 84.5225
87.4047, 84.4429
88.9319, 84.5225
88.9319, 84.4558
90.2684, 84.4947
91.7956, 84.5225
93.5117, 84.4762
95.2295, 84.5595
97.9026, 84.4707
100.0000, 84.5429
101.5272, 84.5336
101.5272, 84.4799
104.0078, 84.4541
104.7723, 84.5058
107.6342, 84.5466
109.3521, 84.4373
110.4980, 84.4984
111.0700, 84.4521
112.5972, 84.5132
114.1225, 84.4651
115.2684, 84.5077
117.5583, 84.4429
119.2762, 84.5040
120.9941, 84.4151
123.6653, 84.4244
123.6653, 84.4984
125.9552, 84.5281
127.1011, 84.5799
128.0544, 84.5004
129.9630, 84.4688
131.8715, 84.5540
133.5876, 84.4558
134.7334, 84.5336
135.4980, 84.4966
136.4513, 84.4392
137.7879, 84.4095
138.9319, 84.4725
139.6964, 84.5410
141.4143, 84.5336
143.5135, 84.4558
145.2314, 84.5355
146.7568, 84.4910
148.2840, 84.5651
148.6653, 84.4929
151.5291, 84.5707
151.7197, 84.4984
153.2451, 84.5448
154.9630, 84.5818
155.5350, 84.5207
157.6361, 84.4521
158.3987, 84.5021
159.7353, 84.5558
161.4513, 84.5670
162.7879, 84.4670
164.8871, 84.4541
166.6050, 84.5114
168.7042, 84.5336
169.4669, 84.4836
170.9941, 84.5132
172.1399, 84.4762
174.2373, 84.5725
175.9552, 84.4688
176.7197, 84.5244
179.3910, 84.4799
179.5816, 84.5244
181.4902, 84.5873
182.6361, 84.5244
183.2081, 84.4781
184.3539, 84.4521
185.4980, 84.5077
187.0252, 84.5558
188.3617, 84.4799
190.0777, 84.4595
191.2236, 84.5151
194.0855, 84.4892
194.8501, 84.5373
196.5661, 84.5744
197.7120, 84.5021
199.2392, 84.4855
200.5739, 84.5484
