# Jean Perrin's data on Brownian motion. x, y values of endpoints of 508 random
# walks,  in micrometers. P Nelson 6/2013
13.82369181, 9.471008247
9.91750061, 10.8330913
-10.09193174, 14.5292149
-10.93042525, 12.87868377
-8.390759313, 14.076306
-6.695509843, 12.61619798
-10.10693657, 11.96536355
-3.375691543, 13.3583447
-2.732063374, 13.17710216
-1.808970275, 13.54600377
4.775977674, 13.56515467
6.479321854, 13.47848204
6.884156075, 11.83150468
6.471029712, 12.05924244
2.284287703, 12.68806322
0.395752351, 12.59102541
-0.753893915, 12.86239563
-1.585378588, 12.40218175
-6.284555232, 12.02222395
5.498381192, 11.09498478
2.55575664, 11.86477197
3.195929749, 11.08837081
-1.406011658, 11.57859435
0.524576701, 10.98906254
-5.050605522, 10.42351871
9.451166336, 9.824608876
3.97420651, 10.31236452
3.283984401, 10.40189991
3.787633314, 9.899731735
-7.172011863, 9.86794519
-7.870229967, 8.584045196
-7.365297746, 8.310898088
-6.490674191, 8.267561774
-1.279852639, 9.51878678
0.654684358, 9.616022017
1.391500409, 9.618095053
10.1831453, 9.002699653
7.190965331, 9.177130784
5.811705703, 9.539319703
5.487719867, 9.263704696
4.704606023, 9.215728731
3.046572476, 9.165087435
5.944972272, 8.715732309
5.71239743, 8.30300081
5.111809427, 7.980791861
5.800945661, 7.708039617
1.432763687, 8.79421151
0.602463606, 8.562821261
-0.638396222, 8.971307973
-1.054484064, 8.695396818
-3.222484347, 8.048214874
6.674285908, 7.435879669
3.588227041, 7.289582592
3.309255691, 6.831046879
1.337206622, 8.198756738
0.507202689, 8.013170702
-0.965837117, 8.100534341
-3.641434953, 7.268654805
-4.055351043, 7.359078639
-4.611418141, 6.762241844
-4.060681706, 6.443389238
-7.92857111, 6.47793983
-6.502618825, 6.207458054
-7.378426971, 6.067577515
-8.026299927, 5.516248784
-9.457286727, 4.916944089
6.671126997, 6.886525258
5.566199069, 6.929071844
4.965907214, 6.652667109
6.116343207, 6.518709529
7.68148502, 6.431642037
10.6730727, 6.16560248
10.16794304, 6.39304409
9.429251389, 6.070440278
8.509909497, 6.34250151
8.967951629, 5.931744331
8.598753876, 5.793344531
8.138243844, 5.792061223
7.631436019, 5.744776271
6.707553192, 5.238560741
5.974981929, 5.968861538
5.654056288, 6.196895444
5.143990836, 5.600256081
4.685158975, 5.87360062
3.583389958, 6.465600333
2.432953965, 6.599557914
0.363965807, 7.142989366
0.314509102, 6.54763331
-0.462188203, 7.598366167
-1.291402409, 7.550192771
-4.15653492, 5.802228969
13.6036539, 3.335711572
13.09260129, 2.555954072
9.552448928, 3.507082508
8.587302823, 3.824750522
7.893921802, 3.364931502
7.757891186, 3.730772912
7.387607557, 3.409254975
7.021568715, 3.820209587
3.167104684, 6.143884965
-5.078344711, 5.662150998
-5.311511848, 5.157909788
-2.731471078, 5.394235837
-5.911507555, 4.927210551
-4.530569756, 4.839649479
-6.790178465, 4.283779814
-6.237566427, 4.285359269
-5.546850737, 4.287333589
-5.962839863, 4.01152115
-6.056817473, 3.690694225
