# Max laser power, a little lower laser power, a little more lower laser power
# TIME, CH1, TIME, CH1, TIME, CH1
-1.51E-05, 0.2, -1.51E-05, 0.2, -1.51E-05, 0
-1.51E-05, -0.2, -1.51E-05, 0.2, -1.51E-05, 0.2
-1.50E-05, -0.2, -1.50E-05, 0, -1.50E-05, 0.2
-1.50E-05, 0.4, -1.50E-05, 0.4, -1.50E-05, -0.2
-1.50E-05, 0.4, -1.50E-05, 0, -1.50E-05, 0.2
-1.50E-05, 0.4, -1.50E-05, 0.2, -1.50E-05, 0.2
-1.50E-05, 0.2, -1.50E-05, 0.2, -1.50E-05, 0
-1.49E-05, -0.2, -1.49E-05, 0.4, -1.49E-05, -0.2
-1.49E-05, 0, -1.49E-05, 0.4, -1.49E-05, 0
-1.49E-05, 0, -1.49E-05, 0, -1.49E-05, 0.2
-1.49E-05, 0.2, -1.49E-05, -0.2, -1.49E-05, 0
-1.49E-05, 0, -1.49E-05, 0.2, -1.49E-05, 0
-1.48E-05, -0.2, -1.48E-05, 0, -1.48E-05, 0
-1.48E-05, 0, -1.48E-05, 0.2, -1.48E-05, 0
-1.48E-05, -0.2, -1.48E-05, 0.4, -1.48E-05, 0
-1.48E-05, 0.4, -1.48E-05, 0.2, -1.48E-05, 0.2
-1.48E-05, 0, -1.48E-05, -0.2, -1.48E-05, 0
-1.47E-05, 0.2, -1.47E-05, 0.4, -1.47E-05, 0.4
-1.47E-05, 0.4, -1.47E-05, -0.2, -1.47E-05, 0.2
-1.47E-05, 0, -1.47E-05, 0.2, -1.47E-05, -0.2
-1.47E-05, 0, -1.47E-05, 0, -1.47E-05, 0
-1.47E-05, 0.2, -1.47E-05, 0.4, -1.47E-05, 0.4
-1.46E-05, 0.4, -1.46E-05, 0, -1.46E-05, 0.2
-1.46E-05, 0.6, -1.46E-05, 0.4, -1.46E-05, 0
-1.46E-05, 0.2, -1.46E-05, 0, -1.46E-05, 0.4
-1.46E-05, 0.2, -1.46E-05, 0.2, -1.46E-05, 0
-1.46E-05, 0.2, -1.46E-05, 0, -1.46E-05, 0.6
-1.45E-05, 0.4, -1.45E-05, 0, -1.45E-05, 0.2
-1.45E-05, 0.2, -1.45E-05, 0.2, -1.45E-05, -0.2
-1.45E-05, 0.6, -1.45E-05, 0.2, -1.45E-05, -0.2
-1.45E-05, 0, -1.45E-05, -0.2, -1.45E-05, 0
-1.45E-05, 0.2, -1.45E-05, 0, -1.45E-05, 0
-1.44E-05, 0, -1.44E-05, 0, -1.44E-05, 0
-1.44E-05, 0, -1.44E-05, 0.4, -1.44E-05, 0.4
-1.44E-05, 0.2, -1.44E-05, 0, -1.44E-05, 0
-1.44E-05, 0, -1.44E-05, 0.2, -1.44E-05, 0
-1.44E-05, 0, -1.44E-05, 0, -1.44E-05, 0
-1.43E-05, 0, -1.43E-05, -0.4, -1.43E-05, 0
-1.43E-05, 0, -1.43E-05, 0, -1.43E-05, 0.2
-1.43E-05, 0.2, -1.43E-05, -0.4, -1.43E-05, 0.2
-1.43E-05, 0.2, -1.43E-05, 0.2, -1.43E-05, 0
-1.43E-05, 0, -1.43E-05, 0.2, -1.43E-05, 0.6
-1.42E-05, 0, -1.42E-05, 0.2, -1.42E-05, 0.2
-1.42E-05, 0.2, -1.42E-05, 0, -1.42E-05, 0
-1.42E-05, 0.2, -1.42E-05, -0.2, -1.42E-05, 0.2
-1.42E-05, 0.4, -1.42E-05, 0.2, -1.42E-05, -0.2
-1.42E-05, -0.2, -1.42E-05, 0.2, -1.42E-05, 0.4
-1.41E-05, -0.2, -1.41E-05, 0.2, -1.41E-05, 0.2
-1.41E-05, 0, -1.41E-05, 0.2, -1.41E-05, 0
-1.41E-05, 0, -1.41E-05, 0.2, -1.41E-05, -0.2
-1.41E-05, -0.2, -1.41E-05, 0, -1.41E-05, -0.2
-1.41E-05, 0.4, -1.41E-05, 0, -1.41E-05, 0.2
-1.40E-05, 0, -1.40E-05, 0.4, -1.40E-05, -0.2
-1.40E-05, 0.2, -1.40E-05, 0.2, -1.40E-05, 0.2
-1.40E-05, 0.2, -1.40E-05, 0, -1.40E-05, 0.4
-1.40E-05, 0, -1.40E-05, 0.2, -1.40E-05, -0.2
-1.40E-05, -0.2, -1.40E-05, 0, -1.40E-05, 0.2
-1.39E-05, 0, -1.39E-05, 0.4, -1.39E-05, 0
-1.39E-05, 0, -1.39E-05, 0.2, -1.39E-05, 0.2
-1.39E-05, 0, -1.39E-05, 0.4, -1.39E-05, 0.2
-1.39E-05, 0.2, -1.39E-05, 0.2, -1.39E-05, 0
-1.39E-05, 0.4, -1.39E-05, 0, -1.39E-05, 0.2
-1.38E-05, 0.2, -1.38E-05, -0.2, -1.38E-05, 0.6
-1.38E-05, 0.4, -1.38E-05, 0.2, -1.38E-05, 0
-1.38E-05, 0, -1.38E-05, 0, -1.38E-05, 0.4
-1.38E-05, 0, -1.38E-05, 0.2, -1.38E-05, -0.2
-1.38E-05, 0.2, -1.38E-05, -0.2, -1.38E-05, 0
-1.37E-05, 0, -1.37E-05, -0.2, -1.37E-05, 0.2
-1.37E-05, 0, -1.37E-05, 0, -1.37E-05, 0.2
-1.37E-05, 0.2, -1.37E-05, -0.2, -1.37E-05, 0
-1.37E-05, 0, -1.37E-05, 0.2, -1.37E-05, -0.2
-1.37E-05, 0, -1.37E-05, 0.6, -1.37E-05, 0
-1.36E-05, 0.2, -1.36E-05, 0.2, -1.36E-05, 0.2
-1.36E-05, 0.4, -1.36E-05, 0.4, -1.36E-05, 0
-1.36E-05, 0, -1.36E-05, 0, -1.36E-05, 0.2
-1.36E-05, 0, -1.36E-05, 0.2, -1.36E-05, 0.2
-1.36E-05, -0.2, -1.36E-05, 0.2, -1.36E-05, 0
-1.35E-05, -0.2, -1.35E-05, 0, -1.35E-05, 0
-1.35E-05, 0, -1.35E-05, 0, -1.35E-05, 0
-1.35E-05, -0.2, -1.35E-05, 0.2, -1.35E-05, 0.6
-1.35E-05, 0.2, -1.35E-05, 0.2, -1.35E-05, 0.4
-1.35E-05, 0.2, -1.35E-05, 0, -1.35E-05, 0
-1.34E-05, 0.2, -1.34E-05, 0, -1.34E-05, 0
-1.34E-05, 0.2, -1.34E-05, 0.2, -1.34E-05, 0.2
-1.34E-05, 0.2, -1.34E-05, 0.2, -1.34E-05, 0.2
-1.34E-05, 0.4, -1.34E-05, 0, -1.34E-05, 0.2
-1.34E-05, -0.2, -1.34E-05, 0.2, -1.34E-05, 0.2
